,High,Low,Open,Close,Volume,tweets,Marketcap,google_trends,profitability,transaction_fee,change,fluction,price,Date
754,6878.95351761,6696.48466818,6738.38301967,6867.52731596,33185988583.8042,28502.0,125712834529.574,44.666000000000004,0.138,0.138,0,-0.01112,6791.12944093,2020-04-04
755,6883.41414332,6715.9292996,6862.53782636,6791.12944093,29510409856.1053,25533.0,124328853511.615,44.551,0.131,0.131,1,0.07078,7271.781152699999,2020-04-05
756,7271.781152699999,6782.88974461,6788.04980287,7271.781152699999,46896904614.9285,32118.0,133140400947.86,52.402,0.105,0.105,0,-0.01311,7176.41450049,2020-04-06
757,7427.93933989,7136.71418613,7273.64421075,7176.41450049,44243482667.8499,32171.0,131409299432.46,53.456,0.14800000000000002,0.14800000000000002,1,0.02197,7334.09845346,2020-04-07
758,7356.22386412,7153.30567428,7179.28341821,7334.09845346,37563249548.9382,30033.0,134309895035.59698,48.441,0.12,0.12,0,-0.00436,7302.089510500001,2020-04-08
759,7341.44831412,7179.0943407,7337.9661825,7302.089510500001,34815139177.5936,29133.0,133737857009.88199,47.205,0.13,0.13,0,-0.05979,6865.49337195,2020-04-09
760,7303.81519824,6802.47496589,7303.81519824,6865.49337195,43622840991.71,28128.0,125755496117.263,50.983000000000004,0.12300000000000001,0.12300000000000001,0,-0.00093,6859.08296343,2020-04-10
761,6926.0696338,6789.920702399999,6867.440451899999,6859.08296343,31222085946.2734,22432.0,125651623116.07,45.082,0.11599999999999999,0.11599999999999999,1,0.01633,6971.09159108,2020-04-11
762,7119.94706176,6811.07790015,6858.06802459,6971.09159108,35759567632.2851,23749.0,127716846208.30699,45.316,0.114,0.114,0,-0.01808,6845.03769683,2020-04-12
763,6965.61663772,6668.25976411,6965.61663772,6845.03769683,38619308647.4394,26814.0,125422221237.29599,48.813,0.126,0.126,0,-0.00038,6842.42786097,2020-04-13
764,6958.55722441,6793.82120931,6843.28177662,6842.42786097,34110434051.8629,31671.0,125388687977.151,46.552,0.113,0.113,0,-0.02928,6642.10989286,2020-04-14
765,6928.66436972,6633.40269245,6845.56171696,6642.10989286,32288311030.7598,28889.0,121731940639.41301,45.99,0.122,0.122,1,0.07147,7116.80421777,2020-04-15
766,7134.45052778,6555.50427487,6640.45388894,7116.80421777,46783242376.7001,30583.0,130445413270.0,49.156000000000006,0.11199999999999999,0.11199999999999999,0,-0.0029,7096.18465879,2020-04-16
767,7167.18298759,7050.33182989,7116.55260865,7096.18465879,32513423567.4314,28790.0,130078472088.331,44.943999999999996,0.111,0.111,1,0.02276,7257.66485847,2020-04-17
768,7269.95653094,7089.24716763,7092.29152293,7257.66485847,32447188385.9262,25279.0,133053136875.737,44.827,0.136,0.136,0,-0.0094,7189.42482356,2020-04-18
769,7280.52178187,7167.05456229,7260.92257873,7189.42482356,31311210215.3203,25819.0,131815853850.003,44.137,0.121,0.121,0,-0.04277,6881.95869275,2020-04-19
770,7240.29059686,6835.50314462,7186.8737411,6881.95869275,37747113935.8454,34822.0,126192239912.38199,45.281000000000006,0.125,0.125,0,-0.00024,6880.32347375,2020-04-20
771,6934.55187057,6834.44232463,6879.78434985,6880.32347375,32589741510.7266,32492.0,126175238603.42,46.092,0.109,0.109,1,0.03443,7117.20747869,2020-04-21
772,7145.86574462,6867.78168929,6879.44029975,7117.20747869,33249153865.7605,30981.0,130530916076.973,44.661,0.0962,0.0962,1,0.04391,7429.72464927,2020-04-22
