,High,Low,Open,Close,Volume,tweets,Marketcap,google_trends,profitability,transaction_fee,change,fluction,price,Date
612,188.634593325,184.99228711799998,188.27250908,185.99963594599998,7872664470.151291,20191206220.1512,3658.0,2.548,0.0132,0.0132,0,-0.02945,180.52118088400002,2019-11-14
613,186.25183211,179.379559595,186.05816605099997,180.52118088400002,8815678477.41818,19598770323.5678,4035.0,2.503,0.013000000000000001,0.013000000000000001,1,0.01566,183.348359202,2019-11-15
614,184.15527216200002,179.98567849,180.49910079,183.348359202,6789888119.762239,19908020820.5157,3536.0,2.411,0.0131,0.0131,1,0.00966,185.119235523,2019-11-16
615,188.19134607900003,182.336800497,183.35082528599997,185.119235523,7364325470.86392,20102654600.778,3272.0,2.4730000000000003,0.013000000000000001,0.013000000000000001,0,-0.02463,180.559604932,2019-11-17
616,186.927156663,179.17551424799998,185.04146174599998,180.559604932,7787662111.084129,19609782344.6314,3759.0,2.551,0.013000000000000001,0.013000000000000001,0,-0.01719,177.45554544,2019-11-18
617,182.528003019,175.197117565,180.50246397200002,177.45554544,7536699743.0686,19274876582.6635,5559.0,2.792,0.0131,0.0131,0,-0.0099,175.69834330000003,2019-11-19
618,178.993147505,175.29043802799998,177.41527740599997,175.69834330000003,7205785148.75662,19086228091.5245,4708.0,2.528,0.0134,0.0134,0,-0.08102,161.462725503,2019-11-20
619,176.20920659700002,159.365129955,175.67360000099998,161.462725503,8546371324.812429,17541867625.6188,4012.0,3.185,0.0126,0.0126,0,-0.06933,150.26817098,2019-11-21
620,163.02809752,142.344094109,161.50588748799998,150.26817098,12020749863.3102,16327536037.9124,4443.0,3.7110000000000003,0.0119,0.0119,1,0.02096,153.41779177799998,2019-11-22
621,154.10155970600002,147.601243609,150.21221339299998,153.41779177799998,8289198330.46398,16671705910.0525,3602.0,2.889,0.011000000000000001,0.011000000000000001,0,-0.06898,142.83470143,2019-11-23
622,153.96591803200002,142.83470143,153.43052646200002,142.83470143,7782769097.963459,15523459920.4853,3232.0,2.9189999999999996,0.0108,0.0108,1,0.0255,146.476535696,2019-11-24
623,150.20796929,133.80233798700002,142.69700110600002,146.476535696,10962753356.2225,15921080564.3907,3348.0,3.319,0.0104,0.0104,1,0.01699,148.96506618,2019-11-25
624,150.004759679,145.21688008700002,146.404304516,148.96506618,7648516297.02655,16193326032.8481,3539.0,3.2119999999999997,0.0109,0.0109,1,0.02716,153.010552055,2019-11-26
625,154.88720975,143.525608242,148.396817722,153.010552055,8778095307.55748,16634910472.4683,4156.0,3.029,0.0106,0.0106,0,-0.00845,151.71757399700002,2019-11-27
626,156.61359186,151.091123923,153.069243365,151.71757399700002,7346531960.14567,16496129469.801,3137.0,2.69,0.0108,0.0108,1,0.02364,155.304145933,2019-11-28
627,156.84840870600001,151.46043179,151.768599994,155.304145933,7503898278.343359,16887922522.3828,3912.0,2.7939999999999996,0.0108,0.0108,0,-0.0178,152.539691345,2019-11-29
628,156.691292764,151.22534237899998,155.286408885,152.539691345,6565950867.57656,16589132425.8639,3119.0,2.6910000000000003,0.0107,0.0107,0,-0.00888,151.18572935,2019-11-30
629,152.49192228200002,147.067926925,152.49192228200002,151.18572935,7102780297.535409,16443650814.3906,3174.0,2.595,0.0106,0.0106,0,-0.01407,149.059152693,2019-12-01
630,152.116960828,147.606802776,151.175477999,149.059152693,6670561362.03602,16214125031.9422,3678.0,2.6710000000000003,0.0105,0.0105,0,-0.0074,147.956415218,2019-12-02
631,150.310425447,146.001671383,149.05824808100002,147.956415218,6204379850.28827,16095928402.0656,3741.0,3.177,0.0103,0.0103,0,-0.00817,146.747737819,2019-12-03
632,150.68081720700002,145.0008918,147.91838834799998,146.747737819,7865937093.744841,15966157442.3648,3638.0,2.6289999999999996,0.0103,0.0103,1,0.01704,149.248994591,2019-12-04
633,153.15540271,145.459082589,146.686492302,149.248994591,6745910228.162729,16240052430.4363,3433.0,2.616,0.0105,0.0105,0,-0.00037,149.194447774,2019-12-05
634,149.67052355200002,147.606520714,149.396488916,149.194447774,6458766440.82297,16235876300.527,3141.0,2.866,0.0106,0.0106,0,-0.00286,148.76816288700002,2019-12-06
635,149.799718704,148.37477592,149.197606545,148.76816288700002,5911233283.71439,16191247024.458,3203.0,2.622,0.0103,0.0103,1,0.01678,151.264725315,2019-12-07
636,152.392923414,148.313344184,148.743677104,151.264725315,6441727251.90339,16464729150.1889,3404.0,2.826,0.0106,0.0106,0,-0.02009,148.225168781,2019-12-08
637,151.913943664,147.621365814,151.224389965,148.225168781,6744206747.0556,16135631419.6062,3592.0,2.859,0.0106,0.0106,0,-0.01321,146.267046031,2019-12-09
638,148.564463566,144.907955651,148.179858747,146.267046031,6859512024.6642,15924221614.0148,3201.0,2.687,0.0102,0.0102,0,-0.01818,143.607998355,2019-12-10
639,147.139202624,143.045365027,146.320648091,143.607998355,7037180048.9642,15636405554.7971,3254.0,2.681,0.0103,0.0103,1,0.0139,145.604010549,2019-12-11
640,145.751652253,141.436979748,143.615658161,145.604010549,7890383412.9071,15855473988.2291,3032.0,2.617,0.0102,0.0102,0,-0.00453,144.944741929,2019-12-12
641,145.85710645,143.746524615,145.65568901700001,144.944741929,7264810246.99922,15785338919.6984,3068.0,2.523,0.00983,0.00983,0,-0.01432,142.86922723799998,2019-12-13
642,145.52907934799998,142.434559895,144.953417715,142.86922723799998,7048066972.93017,15560820322.603,2683.0,2.48,0.00897,0.00897,1,0.00172,143.11498979200002,2019-12-14
643,143.925351226,139.42695086,142.864988576,143.11498979200002,7235153410.52763,15589117504.1594,2489.0,2.444,0.009040000000000001,0.009040000000000001,0,-0.06639,133.61402998,2019-12-15
644,143.224852565,132.456657895,143.139533136,133.61402998,8992282118.51747,14555616654.5305,2995.0,2.897,0.009040000000000001,0.009040000000000001,0,-0.0824,122.603888126,2019-12-16
645,134.011534463,121.395078124,133.647182001,122.603888126,9057166141.27371,13357486655.8419,2816.0,3.373,0.00881,0.00881,1,0.08555,133.09219440299998,2019-12-17
646,133.39416005200002,119.780058221,122.656835836,133.09219440299998,11864518320.5441,14501554619.9584,3134.0,3.303,0.008740000000000001,0.008740000000000001,0,-0.02833,129.32112996799998,2019-12-18
647,134.190642603,125.97166359,133.05277909,129.32112996799998,9564699140.35361,14092012421.3853,3075.0,3.1889999999999996,0.00883,0.00883,0,-0.00197,129.066049932,2019-12-19
648,129.756300732,126.985352194,129.384366722,129.066049932,8173594150.20477,14065549619.6543,2523.0,2.888,0.00911,0.00911,0,-0.00725,128.13094934,2019-12-20
649,129.14766264600001,127.612089859,129.095966121,128.13094934,7449064703.410859,13964992761.0441,2329.0,2.695,0.00892,0.00892,1,0.0331,132.37251946,2019-12-21
650,133.160030519,127.92848587200001,128.09812203799999,132.37251946,9121058480.87221,14428651183.0413,2571.0,2.8089999999999997,0.00902,0.00902,0,-0.02839,128.614088921,2019-12-22
651,134.731755034,127.41672038799999,132.306988432,128.614088921,9622497692.83868,14020312859.771002,2693.0,2.931,0.00924,0.00924,1,0.0035,129.0638929,2019-12-23
652,131.67229236,127.30877193399999,128.62925282,129.0638929,7961819689.050429,14070696527.9187,2466.0,3.0269999999999997,0.009059999999999999,0.009059999999999999,0,-0.02022,126.45463757700001,2019-12-24
653,129.068500954,124.885489957,129.068500954,126.45463757700001,8418019053.70605,13787538200.3839,2463.0,2.855,0.00898,0.00898,0,-0.00074,126.361222911,2019-12-25
654,130.89835113799998,125.40644301799999,126.486325728,126.361222911,8600871979.919529,13778664460.1475,3040.0,3.2510000000000003,0.00908,0.00908,1,0.00675,127.214610889,2019-12-26
655,128.097571483,124.82081141100001,126.368795374,127.214610889,8299390175.93952,13873046817.3274,2923.0,2.9410000000000003,0.009009999999999999,0.009009999999999999,1,0.00871,128.322711714,2019-12-27
656,130.258169106,126.89969677,127.213015267,128.322711714,8069298610.13405,13995233088.0889,2605.0,3.177,0.00897,0.00897,1,0.05015,134.757985408,2019-12-28
657,136.81119671,127.99765551899999,128.266871385,134.757985408,9708776785.7324,14698483422.0906,2505.0,3.194,0.0091,0.0091,0,-0.01577,132.633488892,2019-12-29
658,136.75735672,131.545562924,134.796516661,132.633488892,9796951715.720459,14468140711.8256,2799.0,3.365,0.009340000000000001,0.009340000000000001,0,-0.02279,129.610859432,2019-12-30
659,133.73267355299998,128.798150408,132.61226804,129.610859432,8936866396.64453,14139765786.435,2418.0,3.0989999999999998,0.00927,0.00927,1,0.00919,130.802008077,2019-12-31
660,132.835356857,129.19828458,129.630655703,130.802008077,7935230330.4751,14271059633.0755,2161.0,2.877,0.00945,0.00945,0,-0.02593,127.41018237899999,2020-01-01
661,130.82003771200002,126.954910696,130.82003771200002,127.41018237899999,8032709256.0762205,13902505466.2437,3019.0,3.5260000000000002,0.0102,0.0102,1,0.05307,134.171712485,2020-01-02
662,134.55401371899998,126.49001980700001,127.411261334,134.171712485,10476845358.0825,14642130119.6642,2750.0,3.6910000000000003,0.0117,0.0117,1,0.00669,135.069371268,2020-01-03
663,136.052714158,133.040551066,134.168523193,135.069371268,7430904515.09457,14741946278.126001,2250.0,3.355,0.0114,0.0114,1,0.00894,136.276776707,2020-01-04
664,139.410202121,135.045629195,135.072093991,136.276776707,7526675353.244359,14875569429.664,2321.0,3.339,0.0118,0.0118,1,0.0589,144.30415371,2020-01-05
665,144.32818239899999,136.079631955,136.305547376,144.30415371,9093747120.54445,15753803339.942,2762.0,3.415,0.0123,0.0123,0,-0.00527,143.543998337,2020-01-06
666,145.001774824,140.4888772,144.31199022299998,143.543998337,9257954671.54302,15672773110.1732,2861.0,3.938,0.012,0.012,0,-0.01592,141.258134415,2020-01-07
667,146.828000336,138.268202336,143.487828532,141.258134415,9387194956.58904,15425115411.4042,2647.0,3.88,0.0123,0.0123,0,-0.01613,138.979196656,2020-01-08
668,141.39398901200002,136.23640440399998,141.155776805,138.979196656,7697325347.904691,15178151516.9684,3260.0,3.353,0.0122,0.0122,1,0.03587,143.96378121799998,2020-01-09
669,144.167321507,135.5203966,138.967043356,143.96378121799998,9084816202.767109,15724494552.6748,3759.0,3.013,0.0119,0.0119,0,-0.0072,142.927114494,2020-01-10
670,146.480905038,142.20795473299998,143.409108237,142.927114494,9332208590.18775,15613213639.7289,2808.0,3.245,0.0121,0.0121,1,0.02062,145.873931189,2020-01-11
671,146.14586627100002,142.70764568,143.03254258299998,145.873931189,8528167453.249021,15937115426.2969,2602.0,2.946,0.0122,0.0122,0,-0.01129,144.226591141,2020-01-12
672,146.791233735,142.907137969,146.220132646,144.226591141,8378529469.79702,15759102081.3277,3126.0,3.429,0.0122,0.0122,1,0.15066,165.955358611,2020-01-13
673,167.681553672,144.0649254,144.25104879,165.955358611,16712318373.0187,18135588270.9266,3585.0,4.736000000000001,0.0133,0.0133,1,0.00166,166.230685102,2020-01-14
674,170.425668392,161.10962047799998,165.73461492,166.230685102,15173694057.1567,18167930410.6557,3644.0,4.726,0.0138,0.0138,0,-0.01107,164.391010988,2020-01-15
